Structure Position, Actual Response
Line A: Structure Position, Actual Response - Global RX (SHIP) [°]
Line B: Structure Position, Actual Response - Global RY (SHIP) [°]
Line C: Structure Position, Actual Response - Global RZ (SHIP) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
256,10.1290616989136,3.44958782196045,-1.24689519405365
256.5,10.0993175506592,2.9442880153656,-1.21708428859711
257,9.99887752532959,2.6200098991394,-1.1906658411026
257.5,9.8366813659668,2.5129075050354,-1.16757130622864
258,9.6259126663208,2.63400149345398,-1.14780807495117
258.5,9.38327503204346,2.96848273277283,-1.13124263286591
259,9.12743186950684,3.4775025844574,-1.11746895313263
259.5,8.87682628631592,4.10209894180298,-1.1057653427124
260,8.64750671386719,4.76920366287231,-1.09508788585663
260.5,8.45161724090576,5.39969396591187,-1.08418786525726
261,8.29699039459229,5.91794538497925,-1.07193732261658
261.5,8.18786144256592,6.2614860534668,-1.05748319625854
262,8.12608623504639,6.38920545578003,-1.04026353359222
262.5,8.1121997833252,6.28676271438599,-1.01995766162872
263,8.1458854675293,5.96825838088989,-0.996387183666229
263.5,8.22578144073486,5.47403049468994,-0.969574809074402
264,8.348801612854,4.86504507064819,-0.939776599407196
264.5,8.50940704345703,4.2148814201355,-0.907480716705322
265,8.69922828674316,3.60059404373169,-0.873340785503387
265.5,8.90738105773926,3.09375619888306,-0.838042795658112
266,9.12140083312988,2.75267243385315,-0.80214786529541
266.5,9.32856178283691,2.61639761924744,-0.765976071357727
267,9.51718902587891,2.70088458061218,-0.729740619659424
267.5,9.67746162414551,2.99756455421448,-0.693728744983673
268,9.80176258087158,3.474534034729,-0.658467292785645
268.5,9.88446998596191,4.08013868331909,-0.624800980091095
269,9.92156028747559,4.74853038787842,-0.593908071517944
269.5,9.9103479385376,5.4066801071167,-0.567135572433472
270,9.84951972961426,5.98225593566895,-0.545788764953613
270.5,9.73967170715332,6.41166353225708,-0.530881285667419
271,9.58412456512451,6.64737939834595,-0.522809565067291
271.5,9.38967704772949,6.66340684890747,-0.521070539951324
272,9.16694068908691,6.45791435241699,-0.524167835712433
272.5,8.92987823486328,6.05269622802734,-0.529804229736328
273,8.69472026824951,5.48985862731934,-0.535279512405396
273.5,8.47829532623291,4.8265814781189,-0.538033187389374
274,8.29624843597412,4.1289176940918,-0.536005258560181
274.5,8.16155624389648,3.46539282798767,-0.527944386005402
275,8.08352184295654,2.90069365501404,-0.51339864730835
275.5,8.06732177734375,2.48966503143311,-0.492526382207871
276,8.11396503448486,2.2720057964325,-0.465850919485092
276.5,8.22049713134766,2.26834177970886,-0.434015363454819
277,8.3804349899292,2.47838568687439,-0.397669970989227
277.5,8.5842342376709,2.88147234916687,-0.357495874166489
278,8.81981182098389,3.4391405582428,-0.314323633909225
278.5,9.07313060760498,4.09913396835327,-0.269270986318588
279,9.3287992477417,4.80032634735107,-0.22386959195137
279.5,9.57073307037354,5.47817993164063,-0.180039539933205
280,9.78292751312256,6.07044219970703,-0.139923587441444
280.5,9.95039176940918,6.52274131774902,-0.105628453195095
281,10.0603742599487,6.79364061355591,-7.88912102580071E-02
281.5,10.1037158966064,6.85863876342773,-6.07912056148052E-02
282,10.0761251449585,6.71262311935425,-5.14743588864803E-02
282.5,9.97894191741943,6.37042474746704,-5.01298829913139E-02
